smiles,mfp_MQNs13,mfp_MQNs14,mfp_MQNs15,mfp_MQNs16,mfp_MQNs17,mfp_MQNs18,mfp_MQNs19,mfp_MQNs20,mfp_MQNs21,mfp_MQNs22,mfp_MQNs23,mfp_MQNs24,mfp_MQNs25,mfp_MQNs26,mfp_MQNs27,mfp_MQNs28,mfp_MQNs29,mfp_MQNs30,mfp_MQNs31,mfp_MQNs32,mfp_MQNs33,mfp_MQNs34,mfp_MQNs35,mfp_MQNs36,mfp_MQNs37,mfp_MQNs38,mfp_MQNs39,mfp_MQNs40,mfp_MQNs41,mfp_MQNs42,mfp_NumAromaticRings,mfp_NumAliphaticRings,mfp_Chi0n,mfp_Chi0v,mfp_Chi1n,mfp_Chi1v,mfp_Chi2n,mfp_Chi2v,mfp_HallKierAlpha,mfp_tpsa
[*]CC([*])c1ccc(C(=O)CCN2CCOCC2)cc1,0.6923076923076923,0.0256410256410256,0.0,0.2307692307692307,0.0769230769230769,0.0,0.1538461538461538,0.1282051282051282,0.0769230769230769,0.0,0.0,0.0,0.0,0.0256410256410256,0.0,0.0256410256410256,0.1025641025641025,0.0256410256410256,0.1794871794871795,0.1025641025641025,0.0,0.0,0.0,0.0512820512820512,0.0,0.0,0.0,0.0,0.0,0.0,0.0256410256410256,0.0256410256410256,0.7631720558058381,0.2247105173442996,0.3854664827934803,0.116235713562711,0.0719520706751222,0.0719520706751222,0.0305128205128205,0.1893589743589743
[*]C(=O)OCCCCOC(=O)N1CCN([*])CC1,0.7647058823529411,0.0588235294117647,0.0,0.1764705882352941,0.0,0.0,0.1470588235294117,0.2941176470588235,0.1764705882352941,0.0,0.0,0.0,0.0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.1176470588235294,0.0,0.0588235294117647,0.1176470588235294,0.0,0.0,0.0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0294117647058823,0.7508064809663344,0.221394716260452,0.368823307518866,0.1056699664747495,0.0559387157048677,0.0559387157048677,0.038235294117647,0.4990441176470588
[*]c1cc(CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c([*])s1,0.8333333333333334,0.0,0.0,0.1,0.0666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.2333333333333333,0.0333333333333333,0.1333333333333333,0.0,0.0,0.0,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.0,0.6103309515848969,0.3375475042824877,0.3036362806335128,0.1808528333311037,0.1134041473401309,0.133816561863324,0.031,0.0
[*]OC1C(C)(C)C([*])C1(C)C,0.84,0.0,0.0,0.16,0.0,0.0,0.2,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.16,0.0,0.0,0.16,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.8163299316185545,0.1763299316185545,0.4044948974278318,0.0881649658092772,0.0781649658092772,0.0781649658092772,0.0016,0.2023
[*]NC(C)C(=O)NCC(=O)NCC([*])=O,0.8461538461538461,0.1153846153846153,0.0,0.0,0.0,0.0,0.2692307692307692,0.3461538461538461,0.2307692307692307,0.0,0.0,0.0,0.0,0.1153846153846153,0.0,0.2307692307692307,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333225253035178,0.2333225253035178,0.3468946464017509,0.1050156317094496,0.0580072151801103,0.0580072151801103,0.055,0.9739423076923076
[*]NC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],0.5217391304347826,0.0434782608695652,0.0,0.2608695652173913,0.217391304347826,0.0,0.0869565217391304,0.1304347826086956,0.0869565217391304,0.0,0.0,0.0,0.0,0.0434782608695652,0.0,0.0869565217391304,0.0,0.0434782608695652,0.4347826086956521,0.0,0.0,0.0,0.0434782608695652,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0869565217391304,0.0,0.6853787033229428,0.3295742068415396,0.3469741923672039,0.1914119919292826,0.100672301195144,0.1450471153759986,0.0699999999999999,0.4683695652173913
[*]CCc1ccc([*])c(Cl)c1Cl,0.6666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.7086627192232474,0.3482103798919646,0.3543313596116237,0.1741051899459823,0.0834980262782903,0.1254940788348711,0.0111111111111111,0.0
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],0.5,0.0454545454545454,0.0,0.2727272727272727,0.2272727272727272,0.0,0.1363636363636363,0.0909090909090909,0.0454545454545454,0.0,0.0,0.0,0.0,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0,0.0454545454545454,0.4545454545454545,0.0,0.0,0.0,0.0454545454545454,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.669306585063254,0.3798971833294109,0.3397611305177995,0.2177837023781507,0.1044439928020497,0.1676899718046977,0.054090909090909,0.2298863636363636
[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OCC)cc1,0.7887323943661971,0.056338028169014,0.0,0.0845070422535211,0.0845070422535211,0.0,0.2535211267605634,0.2112676056338028,0.1126760563380281,0.0,0.0,0.0,0.0,0.056338028169014,0.0422535211267605,0.0704225352112676,0.1690140845070422,0.0,0.1690140845070422,0.0,0.0,0.0,0.0,0.028169014084507,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507,0.0,0.7366894595598169,0.2437317130809436,0.3681660956133966,0.1237229704589766,0.0743940042125592,0.0743940042125592,0.0518309859154929,0.4190140845070422
[*]CC([*])C=C,0.8333333333333334,0.0833333333333333,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.1666666666666666,0.3958333333333333,0.0625,0.0208333333333333,0.0208333333333333,0.0216666666666666,0.0
